Participant,W2V Words,W2V Switches,S2V Words,S2V Switches
CAF-657,,,,
CAF-657,,0.6904674498050439,,0.6053999681020052
CAF-657,0.7866447762617235,,0.6483614305671893,
CAF-657,,0.6092676788655821,0.4773009567110859,
CAF-657,0.6540301638520143,,0.45761292377618074,
CAF-657,,0.23800927910386172,,0.2543252728500081
CAF-657,0.4579534898149587,,0.5399881670879917,
CAF-657,0.4970058895611735,,0.5678356471562336,
CAF-657,0.6063742677091867,,0.5700534876591165,
CAF-657,0.0,,0.658908898137194,
CAF-657,0.0,,,0.5196178314037644
CAF-657,0.7093772702257071,,0.7789630041906285,
CAF-657,,0.531017010293181,0.6869940691724519,
CAF-657,0.5395520566054112,,,0.45179428665637567
CAF-657,0.4747476233927709,,0.575975015896018,
CAF-657,,0.4683842904930954,,0.45128902741048
CAF-657,0.7194081143243247,,0.6757035402907089,
CAF-657,,0.5003864960477192,,0.5278482715926955
CAF-657,0.7527778608667554,,0.6303173493038485,
CAF-657,0.768353054741348,,0.6719005679353358,
CAF-657,0.0,,0.0,
CAF-657,0.0,,0.0,
CAF-657,0.0,,0.0,
CAF-657,0.0,,0.0,
CAF-657,0.0,,0.0,
CAF-657,0.7166918074022757,,0.6161570362477106,
CAF-657,0.803002946563213,,0.7089916217190787,
CAF-657,,0.0,,0.0
CAJ-663,2.0,,2.0,
CAJ-663,0.0,,,0.0
CAJ-663,0.0,,0.6806873209704929,
CAJ-663,0.0,,0.537519691400082,
CAJ-663,0.47912871121387807,,,0.34363276115846836
CAJ-663,0.8745785976068601,,0.8628857048123819,
CAJ-663,0.0,,0.0,
CAJ-663,0.0,,0.0,
CAJ-663,0.42304143629827595,,0.47698581339819934,
CAJ-663,0.5000639474678137,,0.4732702795470824,
CAJ-663,0.5095229242769956,,,0.38457190811574227
CAJ-663,,0.49952038634024076,0.5121324851884607,
CAJ-663,0.517720672073823,,0.5516781962476115,
CAJ-663,0.7547038907915292,,0.7076147205496787,
CAJ-663,0.5789778565343725,,0.4973433764437272,
CAJ-663,0.44121786581827477,,0.46343888592140314,
CAJ-663,0.0,,0.0,
CAJ-663,0.0,,0.0,
CAJ-663,0.8378177294278359,,0.7681389064993795,
CAM-666,2.0,,2.0,
CAM-666,0.0,,0.0,
CAM-666,0.0,,0.0,
CAM-666,0.0,,0.0,
CAM-666,0.0,,0.0,
CAM-666,0.0,,0.0,
CAM-666,0.3436777207524676,,0.36757856424289737,
CAM-666,0.5719468120458518,,0.581332145687298,
CAM-666,,0.4537381822321555,,0.44529208100003637
CAM-666,0.4840519237978438,,0.4735197335911638,
CAM-666,0.7894407873342654,,0.7641377187098998,
CAM-666,,0.6659951137397667,,0.5835027087954353
CAM-666,0.7128431779025395,,0.6156015389764411,
CAM-666,,0.6644883959874124,,0.5123397974644501
CAM-666,0.7670680092805389,,0.6970840463037914,
CAM-666,,0.6994166177882621,,0.6417775971582632
CAM-666,0.7345157144882549,,0.7029401369658775,
CAM-666,0.0,,,0.658908898137194
CAM-666,0.0,,0.7332506989804985,
CAM-666,0.6525690141132497,,0.5232816449165089,
CAM-666,0.619892146848802,,0.49231787427331397,
CAM-666,0.47529514627866626,,,0.33436918725535947
CAM-666,,0.4747476233927709,0.575975015896018,
CAM-666,0.5317620721796017,,,0.37122553970292416
CAN-667,2.0,,2.0,
CAN-667,0.8378177294278359,,0.7681389064993795,
CAN-667,0.7602705018652869,,0.6963213212121123,
CAN-667,0.0,,0.0,
CAN-667,0.0,,0.0,
CAN-667,0.0,,0.0,
CAN-667,0.654054521810582,,0.5641505804027288,
CAN-667,,0.5860321973914239,0.5737210558748866,
CAN-667,0.716236279135211,,0.6678917598249352,
CAN-667,0.506228867879423,,0.48772132165163856,
CAN-667,,0.40243939981330745,,0.34785271982783855
CAN-667,0.6947537403681799,,0.54713027030339,
CAN-667,0.6239139354578737,,0.5982440523188578,
CAN-667,0.5777195235771273,,0.6026494687952982,
CAN-667,0.4719559902113143,,0.4374474265892113,
CAN-667,,0.37149004650447875,,0.3215951328308907
CAN-667,0.5641084534286992,,0.5722194589526469,
CAP-671,2.0,,2.0,
CAP-671,0.7334882084465411,,0.7044682582263694,
CAP-671,0.0,,0.0,
CAP-671,0.0,,0.0,
CAP-671,0.37211662809380214,,0.3224034396108731,
